Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
2,FivePoints,San Joaquin Valley,12/4/2024,339,1.20, ,0.20, ,99, ,0.9, ,18.2, ,1.9, ,8.8, ,97, ,54, ,83, ,6.2, ,0.9, ,79.1, ,13.8, 
2,FivePoints,San Joaquin Valley,12/5/2024,340,1.23, ,0.00, ,97, ,1.0, ,18.9, ,2.9, ,9.4, ,96, ,57, ,82, ,6.4, ,1.0, ,88.7, ,13.7, 
2,FivePoints,San Joaquin Valley,12/6/2024,341,1.31, ,0.10, ,103, ,1.0, ,18.9, ,1.4, ,9.0, ,96, ,57, ,83, ,6.3, ,1.2, ,106.9, ,13.7, 
2,FivePoints,San Joaquin Valley,12/7/2024,342,1.42, ,0.00, ,116, ,0.9, ,16.7, ,0.9, ,8.1, ,96, ,62, ,85, ,5.7, ,1.3, ,111.5, ,13.5, 
2,FivePoints,San Joaquin Valley,12/8/2024,343,1.02, ,0.10, ,82, ,1.0, ,16.8, ,5.0, ,9.2, ,99, ,66, ,87, ,7.1, ,1.5, ,128.8, ,13.4, 
2,FivePoints,San Joaquin Valley,12/9/2024,344,0.75, ,0.40, ,80, ,0.9, ,11.3, ,2.1, ,6.8, ,99, ,78, ,95, ,6.0, ,1.8, ,157.5, ,13.4, 
2,FivePoints,San Joaquin Valley,12/10/2024,345,1.00, ,0.10, ,85, ,0.8, ,14.6, ,0.7, ,6.2, ,99, ,55, ,84, ,3.7, ,1.5, ,133.1, ,13.1, 
2,FivePoints,San Joaquin Valley,12/11/2024,346,1.01, ,0.00, ,90, ,0.8, ,14.8, ,-1.5, ,5.6, ,97, ,57, ,84, ,3.1, ,1.6, ,138.4, ,12.6, 
2,FivePoints,San Joaquin Valley,12/12/2024,347,0.78, ,1.20, ,76, ,0.9, ,13.8, ,2.7, ,7.3, ,96, ,68, ,88, ,5.5, ,1.4, ,118.2, ,12.2, 
2,FivePoints,San Joaquin Valley,12/13/2024,348,1.15, ,0.00, ,79, ,0.9, ,15.7, ,1.9, ,9.3, ,97, ,58, ,81, ,6.2, ,2.2, ,189.9, ,12.2, 
2,FivePoints,San Joaquin Valley,12/14/2024,349,2.23, ,0.10, ,98, ,0.9, ,19.9, ,4.2, ,12.0, ,85, ,41, ,64, ,5.4, ,3.8, ,328.6, ,12.4, 
2,FivePoints,San Joaquin Valley,12/15/2024,350,1.52, ,0.00, ,114, ,0.8, ,15.2, ,2.0, ,7.6, ,89, ,52, ,75, ,3.4, ,1.9, ,163.7, ,12.4, 
2,FivePoints,San Joaquin Valley,12/16/2024,351,0.78, ,0.00, ,72, ,0.9, ,14.9, ,2.3, ,8.3, ,90, ,60, ,79, ,4.9, ,2.0, ,172.1, ,12.1, 
2,FivePoints,San Joaquin Valley,12/17/2024,352,0.49, ,0.00, ,47, ,1.0, ,11.7, ,5.1, ,9.1, ,97, ,82, ,89, ,7.4, ,3.1, ,268.4, ,11.8, 
2,FivePoints,San Joaquin Valley,12/18/2024,353,0.91, ,0.00, ,78, ,1.0, ,14.1, ,8.8, ,10.4, ,90, ,67, ,81, ,7.3, ,1.2, ,104.4, ,12.0, 
2,FivePoints,San Joaquin Valley,12/19/2024,354,0.60, ,0.00, ,56, ,1.0, ,14.0, ,3.8, ,9.1, ,95, ,70, ,84, ,6.6, ,1.6, ,141.9, ,11.7, 
2,FivePoints,San Joaquin Valley,12/20/2024,355,0.29, ,0.10, ,46, ,1.0, ,11.2, ,3.3, ,6.6, ,99, ,95, ,99, ,6.4, ,1.7, ,143.0, ,11.7, 
2,FivePoints,San Joaquin Valley,12/21/2024,356,0.58, ,0.10, ,59, ,1.0, ,13.1, ,5.2, ,8.7, ,99, ,72, ,91, ,7.3, ,2.0, ,175.3, ,11.8, 
2,FivePoints,San Joaquin Valley,12/22/2024,357,0.54, ,1.30, ,47, ,1.3, ,18.2, ,9.4, ,12.2, ,97, ,72, ,88, ,10.3, ,2.1, ,180.9, ,11.6, 
2,FivePoints,San Joaquin Valley,12/23/2024,358,0.95, ,0.00, ,74, ,1.2, ,20.4, ,7.0, ,12.8, ,97, ,61, ,83, ,10.0, ,1.6, ,134.8, ,11.8, 
2,FivePoints,San Joaquin Valley,12/24/2024,359,0.43, ,9.90, ,41, ,1.2, ,15.0, ,6.3, ,10.9, ,94, ,71, ,88, ,9.1, ,2.9, ,253.3, ,12.0, 
2,FivePoints,San Joaquin Valley,12/25/2024,360,0.67, ,0.00, ,61, ,0.9, ,12.4, ,2.9, ,7.5, ,96, ,74, ,86, ,5.3, ,1.8, ,152.8, ,11.6, 
2,FivePoints,San Joaquin Valley,12/26/2024,361,0.78, ,6.70, ,74, ,1.0, ,14.2, ,3.5, ,8.9, ,99, ,68, ,90, ,7.2, ,1.9, ,164.0, ,11.1, 
2,FivePoints,San Joaquin Valley,12/27/2024,362,0.91, ,0.20, ,71, ,1.2, ,19.7, ,8.5, ,12.2, ,97, ,66, ,87, ,10.1, ,2.4, ,205.0, ,11.3, 
2,FivePoints,San Joaquin Valley,12/28/2024,363,0.99, ,0.10, ,84, ,1.2, ,17.6, ,5.6, ,11.4, ,99, ,73, ,92, ,10.1, ,1.4, ,122.6, ,11.6, 
2,FivePoints,San Joaquin Valley,12/29/2024,364,0.70, ,0.20, ,63, ,1.3, ,17.0, ,7.1, ,11.3, ,99, ,81, ,94, ,10.3, ,2.4, ,204.5, ,11.7, 
